reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
14,50,12,0,89,89,29,171.00141079998866,171.99439300000085,171.99439300000085,172.01089639999554,l,0.9739298000058625,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
16,65,17,0,90,90,33,173.00128229999973,173.99421299999813,173.99421299999813,174.01065989999915,l,0.6989994999894407,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
73,88,45,0,91,91,63,174.71815349999815,175.71086159998958,175.71086159998958,175.72745179999038,l,0.7736443000030704,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
62,112,77,0,92,92,66,176.51872169999115,177.5104885999899,177.5104885999899,177.52743399998872,l,0.8864528999984032,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
3,39,21,0,93,93,76,178.43365639999683,179.4274820999999,179.4274820999999,179.443938899989,t,0.7129793999920366,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
54,93,43,0,94,94,87,180.16781059998902,181.16059790000145,181.16059790000145,181.17722259998845,l,1.2665556999854743,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
15,35,13,0,95,95,1,182.45241610000085,183.44387389998883,183.44387389998883,183.4604149999941,l,0.9258010000048671,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
47,65,55,0,96,96,53,184.39937709999504,185.393476799989,185.393476799989,185.4102278999926,l,0.8245109999988927,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
15,89,11,0,97,97,83,186.25151750000077,187.24342829998932,187.24342829998932,187.26004829999874,l,0.7778097999980673,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
45,63,6,0,98,98,45,188.04960269998992,189.0436539999937,189.0436539999937,189.0601905999938,l,0.714478699999745,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
44,50,98,0,99,99,75,189.78235559999302,190.77674509999633,190.77674509999633,190.79329979998874,l,0.5153996000008192,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
